bin	type	event.count	count
0	D	1	-25934
5	D	1	-18086
10	D	1	-6230
15	D	1	-1614
20	D	1	-1829
25	D	1	-133
25	D	2	-467
30	D	1	-6
30	D	2	-424
35	D	1	-2
45	D	2	-202
50	D	2	-2
55	D	2	-6
55	D	3	-3
60	D	3	-1
75	D	2	-1
75	D	3	-1
80	D	3	-11
80	D	4	-8
85	D	3	-9
85	D	4	-93
95	D	4	-1
100	D	4	-1
105	D	4	-89
110	D	4	-8
110	D	5	-1
115	D	5	-1
120	D	5	-1
130	D	5	-1
130	D	6	-1
135	D	6	-5
140	D	5	-58
140	D	6	-51
145	D	6	-9
160	D	6	-3
165	D	6	-35
165	D	7	-2
170	D	6	-1
170	D	7	-1
175	D	7	-8
195	D	8	-50
195	D	7	-48
200	D	7	-9
215	D	8	-2
220	D	8	-1
0	I	1	3460
5	I	1	318
10	I	1	2
20	I	1	275
25	I	1	47
35	I	1	124
40	I	1	255
50	I	1	13
65	I	1	1
75	I	1	1
90	I	1	13
105	I	1	1
130	I	1	6
140	I	1	2
