bin	type	event.count	count
0	D	1	-147290
5	D	1	-170583
10	D	1	-83160
10	D	2	-1
15	D	1	-31956
15	D	2	-2
20	D	1	-17729
20	D	2	-1616
25	D	1	-18564
25	D	2	-12434
30	D	1	-2580
30	D	2	-12372
35	D	1	-560
35	D	2	-14900
40	D	1	-354
40	D	2	-23191
45	D	2	-22654
45	D	3	-3397
50	D	2	-2892
50	D	3	-16881
55	D	2	-661
55	D	3	-8690
60	D	2	-7
60	D	3	-1750
65	D	2	-7
65	D	3	-1134
65	D	4	-1
70	D	3	-751
70	D	4	-2
75	D	3	-1491
75	D	4	-1373
80	D	3	-244
80	D	4	-3221
85	D	3	-407
85	D	4	-6373
90	D	3	-110
90	D	4	-9679
95	D	3	-4
95	D	4	-24186
95	D	5	-12
100	D	4	-18701
100	D	5	-8599
105	D	4	-413
105	D	5	-9536
110	D	4	-710
110	D	5	-14044
115	D	4	-3
115	D	5	-3085
120	D	5	-1242
125	D	5	-446
125	D	6	-220
130	D	5	-5817
130	D	6	-884
135	D	5	-45
135	D	6	-1383
140	D	5	-25
140	D	6	-159
145	D	6	-50
150	D	6	-50
155	D	6	-383
155	D	7	-64
160	D	6	-12
160	D	7	-83
165	D	7	-47
170	D	7	-46
175	D	8	-9
175	D	7	-52
180	D	8	-29
180	D	7	-62
185	D	8	-49
190	D	8	-57
195	D	8	-4
205	D	8	-6
210	D	8	-2
210	D	9	-1
215	D	9	-2
230	D	10	-11
0	I	1	20288
5	I	1	5002
10	I	1	2438
15	I	1	1418
20	I	1	1353
20	I	2	1
25	I	1	244
30	I	1	484
35	I	1	913
40	I	1	669
45	I	1	165
50	I	1	129
55	I	1	1
60	I	1	68
65	I	1	70
70	I	1	196
75	I	1	197
85	I	1	2701
90	I	1	231
100	I	1	193
110	I	1	103
115	I	1	94
120	I	1	105
125	I	1	53
130	I	1	76
135	I	1	9
140	I	1	21
150	I	1	10
155	I	1	4
165	I	1	6
170	I	1	4
190	I	1	18
215	I	1	1
